prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,64,0,0,16.79
16,64,1,16,16.256
16,64,1,32,16.576
16,64,1,64,16.3207
16,64,1,128,19.6907
16,64,1,256,24.854
16,64,1,512,34.752
16,64,1,1024,56.148
16,64,1,2048,101.013
16,64,1,4096,189.76
16,64,1,8192,370.24
16,64,1,16384,731.606
16,64,2,16,16.0213
16,64,2,32,16.064
16,64,2,64,16.4693
16,64,2,128,19.52
16,64,2,256,24.8534
16,64,2,512,34.8586
16,64,2,1024,56.4486
16,64,2,2048,101.377
16,64,2,4096,190.167
16,64,2,8192,370.176
16,64,2,16384,727.02
16,64,4,16,16.2773
16,64,4,32,16.2347
16,64,4,64,16.7473
16,64,4,128,19.9893
16,64,4,256,25.494
16,64,4,512,35.904
16,64,4,1024,57.9406
16,64,4,2048,104.063
16,64,4,4096,195.115
16,64,4,8192,376.13
16,64,4,16384,737.344
16,64,8,16,25.0666
16,64,8,32,24.982
16,64,8,64,25.8766
16,64,8,128,33.28
16,64,8,256,44.416
16,64,8,512,65.7286
16,64,8,1024,110.891
16,64,8,2048,198.912
16,64,8,4096,378.624
16,64,8,8192,746.154
16,64,8,16384,1473.84
16,64,16,16,33.516
16,64,16,32,33.4934
16,64,16,64,34.9666
16,64,16,128,47.7646
16,64,16,256,64.7254
16,64,16,512,97.536
16,64,16,1024,165.503
16,64,16,2048,297.344
16,64,16,4096,561.002
16,64,16,8192,1126.87
16,64,16,16384,2210.54
16,64,32,16,57.8986
16,64,32,32,58.4954
16,64,32,64,59.99
16,64,32,128,88.49
16,64,32,256,122.71
16,64,32,512,190.912
16,64,32,1024,331.542
16,64,32,2048,589.506
16,64,32,4096,1151.81
16,64,32,8192,2359.74
16,64,32,16384,4628.2
16,64,64,16,105.302
16,64,64,32,105.685
16,64,64,64,108.459
16,64,64,128,165.398
16,64,64,256,233.344
16,64,64,512,364.224
16,64,64,1024,621.44
16,64,64,2048,1107.99
16,64,64,4096,2878.76
16,64,64,8192,5817.78
16,64,64,16384,11702.8
16,64,128,16,192.641
16,64,128,32,194.262
16,64,128,64,203.67
16,64,128,128,328.066
16,64,128,256,479.276
16,64,128,512,778.37
16,64,128,1024,1346.41
16,64,128,2048,3079.34
16,64,128,4096,8598.88
16,64,128,8192,17288
16,64,128,16384,43077
16,128,0,0,20.8014
16,128,1,16,19.562
16,128,1,32,19.7553
16,128,1,64,19.7127
16,128,1,128,20.5006
16,128,1,256,24.3626
16,128,1,512,34.3034
16,128,1,1024,55.9566
16,128,1,2048,100.545
16,128,1,4096,189.269
16,128,1,8192,369.514
16,128,1,16384,728.618
16,128,2,16,19.392
16,128,2,32,19.3707
16,128,2,64,19.542
16,128,2,128,20.3746
16,128,2,256,24.3626
16,128,2,512,34.6246
16,128,2,1024,56.298
16,128,2,2048,100.268
16,128,2,4096,189.633
16,128,2,8192,369.45
16,128,2,16384,723.522
16,128,4,16,19.392
16,128,4,32,19.6053
16,128,4,64,19.5627
16,128,4,128,20.6494
16,128,4,256,24.7886
16,128,4,512,35.542
16,128,4,1024,58.176
16,128,4,2048,103.701
16,128,4,4096,195.136
16,128,4,8192,373.718
16,128,4,16384,733.888
16,128,8,16,29.3766
16,128,8,32,29.2914
16,128,8,64,29.952
16,128,8,128,34.5174
16,128,8,256,44.48
16,128,8,512,65.1306
16,128,8,1024,110.336
16,128,8,2048,198.89
16,128,8,4096,376.768
16,128,8,8192,744.77
16,128,8,16384,1468.76
16,128,16,16,38.2506
16,128,16,32,38.464
16,128,16,64,39.4034
16,128,16,128,48.6626
16,128,16,256,63.9794
16,128,16,512,97.2174
16,128,16,1024,164.737
16,128,16,2048,296.684
16,128,16,4096,560.598
16,128,16,8192,1120.86
16,128,16,16384,2202.44
16,128,32,16,62.4854
16,128,32,32,62.656
16,128,32,64,64.4486
